x, y, z, phi1, phi2
-0.0228125, -0.0353125, 1e-12, 4.3565973570924, -0.0336618158242183
-0.0221875, -0.0353125, 1e-12, 4.3611828480091, -0.0340280549225868
-0.0215625, -0.0353125, 1e-12, 4.36582695313351, -0.0343630872377682
-0.0209375, -0.0353125, 1e-12, 4.37052546194333, -0.0346619971722302
-0.0203125, -0.0353125, 1e-12, 4.37527343331644, -0.0349197571669634
-0.0396875, -0.0346875, 1e-12, 4.25605749940274, -0.0280920631357972
-0.0390625, -0.0346875, 1e-12, 4.25871931325196, -0.0281284441990674
-0.0384375, -0.0346875, 1e-12, 4.26193259806412, -0.0282010750783181
-0.0378125, -0.0346875, 1e-12, 4.26515750660361, -0.0283096922935487
-0.0371875, -0.0346875, 1e-12, 4.26839864315932, -0.028453898171112
-0.0365625, -0.0346875, 1e-12, 4.27166056620678, -0.0286331579273345
-0.0359375, -0.0346875, 1e-12, 4.27494777444867, -0.0288467958271881
-0.0353125, -0.0346875, 1e-12, 4.27826469220871, -0.0290939904596609
-0.0346875, -0.0346875, 1e-12, 4.28161565404236, -0.0293737691831848
-0.0340625, -0.0346875, 1e-12, 4.28500488843219, -0.029685001807264
-0.0334375, -0.0346875, 1e-12, 4.28843650044192, -0.0300263935900818
-0.0328125, -0.0346875, 1e-12, 4.29191445321045, -0.030396477646758
-0.0321875, -0.0346875, 1e-12, 4.29544254817666, -0.0307936068789655
-0.0315625, -0.0346875, 1e-12, 4.29902440393673, -0.0312159455539053
-0.0309375, -0.0346875, 1e-12, 4.30266343364973, -0.0316614606790803
-0.0303125, -0.0346875, 1e-12, 4.30636282092299, -0.0321279133390487
-0.0296875, -0.0346875, 1e-12, 4.31012549412854, -0.0326128501808421
-0.0290625, -0.0346875, 1e-12, 4.31395409912394, -0.0331135952562476
-0.0284375, -0.0346875, 1e-12, 4.31785097037718, -0.0336272424509294
-0.0278125, -0.0346875, 1e-12, 4.32181810052543, -0.0341506487524273
-0.0271875, -0.0346875, 1e-12, 4.32585710843121, -0.0346804286303833
-0.0265625, -0.0346875, 1e-12, 4.32996920583851, -0.0352129498230461
-0.0259375, -0.0346875, 1e-12, 4.33415516277392, -0.035744330842503
-0.0253125, -0.0346875, 1e-12, 4.33841527188524, -0.0362704405273356
-0.0246875, -0.0346875, 1e-12, 4.34274931196177, -0.0367868999837514
-0.0240625, -0.0346875, 1e-12, 4.34715651093598, -0.0372890872641163
-0.0234375, -0.0346875, 1e-12, 4.35163550872504, -0.0377721451339068
-0.0228125, -0.0346875, 1e-12, 4.35618432033296, -0.0382309922732693
-0.0221875, -0.0346875, 1e-12, 4.36080029969711, -0.0386603382463363
-0.0215625, -0.0346875, 1e-12, 4.3654801048274, -0.0390547025492565
-0.0209375, -0.0346875, 1e-12, 4.37021966484925, -0.0394084380149725
-0.0203125, -0.0346875, 1e-12, 4.37501414962191, -0.0397157588088481
-0.0396875, -0.0340625, 1e-12, 4.25603810901671, -0.0312766428830444
-0.0390625, -0.0340625, 1e-12, 4.25866121065121, -0.0313177548065561
-0.0384375, -0.0340625, 1e-12, 4.26183598945247, -0.0313998351397049
-0.0378125, -0.0340625, 1e-12, 4.26502273742153, -0.0315225957182087
-0.0371875, -0.0340625, 1e-12, 4.26822620071726, -0.0316856014647876
-0.0365625, -0.0340625, 1e-12, 4.27145108333564, -0.0318882670217682
-0.0359375, -0.0340625, 1e-12, 4.27470203413049, -0.0321298523112342
-0.0353125, -0.0340625, 1e-12, 4.27798363313864, -0.0324094570670177
-0.0346875, -0.0340625, 1e-12, 4.28130037706045, -0.0327260143954754
-0.0340625, -0.0340625, 1e-12, 4.28465666374961, -0.0330782834358863
-0.0334375, -0.0340625, 1e-12, 4.28805677557128, -0.0334648412062857
-0.0328125, -0.0340625, 1e-12, 4.29150486149365, -0.0338840737370441
-0.0321875, -0.0340625, 1e-12, 4.29500491778595, -0.0343341666123378
-0.0315625, -0.0340625, 1e-12, 4.29856076720561, -0.034813095059225
-0.0309375, -0.0340625, 1e-12, 4.30217603656996, -0.0353186137449477
-0.0303125, -0.0340625, 1e-12, 4.30585413262212, -0.0358482464656334
-0.0296875, -0.0340625, 1e-12, 4.30959821611977, -0.0363992759334855
-0.0290625, -0.0340625, 1e-12, 4.31341117409633, -0.0369687338944595
-0.0284375, -0.0340625, 1e-12, 4.3172955902702, -0.0375533918343572
-0.0278125, -0.0340625, 1e-12, 4.32125371360781, -0.0381497525574591
-0.0271875, -0.0340625, 1e-12, 4.32528742508046, -0.038754042947861
-0.0265625, -0.0340625, 1e-12, 4.32939820269544, -0.0393622082490081
-0.0259375, -0.0340625, 1e-12, 4.33358708492618, -0.039969908220369
-0.0253125, -0.0340625, 1e-12, 4.33785463271731, -0.0405725155512103
